Price,Close,High,Low,Open,Volume
Ticker,UNH,UNH,UNH,UNH,UNH
Date,,,,,
2021-01-12,336.0771789550781,338.6257037211721,334.0646993414161,336.61322410751,2372500
2021-01-13,333.885986328125,335.55051571466316,330.3029963491298,334.82640424805606,1974500
2021-01-14,329.6446838378906,337.4313428664606,329.5412516450145,335.58813182665176,2919900
2021-01-15,330.36883544921875,332.0145669667981,325.140113609309,328.3187310751471,3777000
2021-01-19,331.2057189941406,335.69150118533213,330.6132512388515,334.9861878955634,3361300
2021-01-20,329.9361877441406,331.1022966685508,325.2246852362018,330.9142303222804,3036800
2021-01-21,333.8483581542969,339.38743342158034,329.8421686726767,329.9080048142237,3749800
2021-01-22,326.84222412109375,333.49098544913784,326.8328394577611,332.25904031697735,2585100
2021-01-25,327.08673095703125,329.51302508788956,324.0679976865345,326.46605173051574,2506300
2021-01-26,322.6667785644531,330.5663120471967,322.1589735514336,329.6258941277536,2467500
2021-01-27,313.1497497558594,317.86125265501744,309.4069048524884,316.9584594998422,4770900
2021-01-28,318.0023193359375,325.93003564902443,314.57921297233474,316.5823077680088,2769900
2021-01-29,313.7046203613281,318.820496520992,310.93040451141445,316.4788649105212,3899200
2021-02-01,314.099609375,318.0023383025281,312.91467352113324,315.0682387589338,3020200
2021-02-02,318.538330078125,324.10561628654074,317.01485777798354,317.01485777798354,2663700
2021-02-03,317.75787353515625,319.8926122094643,314.6638900676821,317.8613057465783,2537100
2021-02-04,309.6984558105469,315.31275229457003,308.82387397768235,312.51970974826145,5962200
2021-02-05,305.1750183105469,313.6105679219465,304.20638903295145,312.322171306762,7227900
2021-02-08,305.01513671875,307.5354497903364,304.5167163822103,307.5260651268914,4758200
2021-02-09,309.9899597167969,311.31595241146437,302.5418372550911,304.60135477028984,4096900
2021-02-10,313.5353698730469,315.754771378696,310.12164778423676,312.83946970482657,4122700
2021-02-11,313.2250671386719,316.59175134858305,311.7486038164793,315.04006720519027,2776700
2021-02-12,308.6827697753906,312.5949117778894,308.3442330988585,311.9178097255478,2760800
2021-02-16,305.2784423828125,310.1874247802688,303.2659630777196,307.85517814609216,4339000
2021-02-17,307.3849792480469,309.02132590013093,303.0402531669534,304.18756414631684,2620000
2021-02-18,308.8426208496094,309.9428936314753,305.82388767206834,306.4821629289325,2383500
2021-02-19,305.2408142089844,309.2564168102767,304.7988166699442,309.1623692850878,2313800
2021-02-22,308.1185302734375,309.4444942387491,301.26287584138555,302.34435067158415,2688300
2021-02-23,309.8771057128906,314.043150045434,307.17811098142016,310.32848792905077,3225700
2021-02-24,312.4162902832031,313.7234852233736,306.6139266533229,308.9179337884732,3360500
2021-02-25,309.2752380371094,313.72342514883877,307.85519778826995,311.27833280687486,2780100
2021-02-26,312.4256286621094,317.7766086853269,310.19684288252733,310.85511817774074,5430000
2021-03-01,314.7109069824219,318.71709721563764,313.79870029032804,314.43817770147274,4198900
2021-03-02,314.70147705078125,317.5509422957208,313.99616358718947,315.0400137376517,2568900
2021-03-03,313.0369567871094,318.0117763880685,312.9523226051509,313.46015639618355,3039700
2021-03-04,313.9209289550781,320.53206631911877,312.84886736324216,314.2594943572703,4991600
2021-03-05,326.4190979003906,327.53819763128274,315.0588322370356,315.0682456009308,4563100
2021-03-08,329.3061218261719,332.90790946187815,325.00840548568846,326.3343980605088,3419900
2021-03-09,331.0083312988281,339.72599565134493,330.40645001530737,331.89232649694975,4277600
2021-03-10,328.77008056640625,333.35932418904986,327.73561520896203,332.82327913574585,3012300
2021-03-11,332.0616149902344,334.7606101676742,329.0240543954552,329.8610402250122,2520500
2021-03-12,335.9969787597656,336.75200303815217,332.19363216116415,333.3072893716304,2088700
2021-03-15,333.9774475097656,337.8091068372375,331.77847285851954,336.84648300267827,2343400
2021-03-16,334.6570129394531,335.37425033558867,332.1182984263517,333.64718369866665,2904200
2021-03-17,332.3730163574219,337.93177033494504,332.0426949683926,335.19487517099975,2633100
2021-03-18,341.6878967285156,343.83024785492694,332.5240059139834,333.02419697674395,3311600
2021-03-19,345.01934814453125,349.6248959465231,338.81887438116854,341.5652160942719,8572900
2021-03-22,346.2274475097656,347.85071430400876,339.85707362325047,344.47206941896644,3505200
2021-03-23,347.7752380371094,350.64427384537277,346.5672275075105,348.1055594915587,3100100
2021-03-24,349.757080078125,352.7770915016919,344.9533503764808,345.46295948344164,3407800
2021-03-25,350.2195129394531,351.18213672100745,342.9525861466663,349.7570802602611,3021500
2021-03-26,355.30633544921875,355.8537028992503,349.46446597488523,350.7762757747584,2959800
2021-03-29,357.7412414550781,359.10025655665817,353.900135872123,355.1930809393067,2740400
2021-03-30,352.5506286621094,358.51519277460636,350.889603516543,356.3162180578635,3066000
2021-03-31,351.1444091796875,355.797134019959,350.8895758233263,351.8333347995066,3356500
2021-04-01,346.42559814453125,351.72951873513784,345.1892762474854,351.26708607476957,2977700
2021-04-05,349.3606872558594,351.67290824394325,346.96356021818934,348.8321845387953,2709400
2021-04-06,343.87738037109375,348.99256560610746,342.32018415199,348.0393600265958,2698600
2021-04-07,345.0760498046875,345.3025427451537,340.27229121613766,343.7075877531475,2158900
2021-04-08,344.3681945800781,346.27457716601975,342.6882761096999,342.6882761096999,2426700
2021-04-09,355.13653564453125,355.42909865964833,346.3595875885338,347.6336681260152,2483200
2021-04-12,355.11761474609375,358.46794748104264,352.994157119404,353.4188601652369,3057300
